"# ","Player ","Team ","Mat ","Inns ","NO ","Runs ","4's ","6's ","50's ","100's ","HS ","SR ","Avg "
"1","Ruben Clinton","Seattle Thunderbolts","8","8","1","352","33","13","3","0","92","121.80","50.29"
"2","Sujith Gowda","East Bay Blazers","8","8","0","291","30","11","3","0","94","132.88","36.38"
"3","Bhaskar Yadram","The Philadelphians","8","8","4","289","23","15","3","0","67","117.48","72.25"
"4","Syed Saad Ali","Chicago Kingsmen","7","7","2","288","28","10","4","0","69","138.46","57.60"
"5","Anthony Bramble","Silicon Valley Strikers","7","7","0","265","22","19","0","1","100","155.88","37.86"
"6","Skanda Rohit Sharma","San Diego Surf Riders","8","8","2","261","18","10","3","0","60","126.09","43.50"
"7","Steven Taylor","Atlanta Fire","5","5","0","255","24","19","0","2","112","158.39","51.00"
"8","Gajanand Singh","New Jersey Somerset Cavaliers","8","8","4","248","12","23","2","0","57","150.30","62.00"
"9","Sujit Nayak","Seattle Thunderbolts","8","7","2","242","12","9","2","0","84","139.08","48.40"
"10","Cody Chetty","Los Angeles Lashings","8","8","1","239","21","4","1","0","55","134.27","34.14"
"11","Rahul Jariwala","Golden State Grizzlies","8","8","0","229","20","9","2","0","90","111.17","28.62"
"12","Umar Akmal","San Diego Surf Riders","8","8","0","227","24","12","0","0","47","148.37","28.38"
"13","Harpreet Singh","Los Angeles Lashings","8","8","0","226","23","11","1","0","79","161.43","28.25"
"14","Kranthi Kumar","Golden State Grizzlies","7","7","0","226","16","9","2","0","77","113.57","32.29"
"15","Pranay Suri","Silicon Valley Strikers","8","8","2","222","16","15","1","0","85","162.04","37.00"
"16","Saif Badar","Houston Hurricanes","7","7","3","217","8","8","1","0","62","106.37","54.25"
"17","Kirstan Kallicharan","Los Angeles Lashings","8","8","1","214","21","6","1","0","69","104.90","30.57"
"18","Sanjay Krishnamurthi","East Bay Blazers","4","4","2","205","14","15","3","0","77","184.68","102.50"
"19","Harkaran Gujral","Los Angeles Lashings","8","8","0","197","20","9","2","0","70","123.12","24.62"
"20","Abhinay Reddy Vanipally","San Diego Surf Riders","8","7","0","192","17","12","2","0","60","151.18","27.43"
"21","Chandrapaul Hemraj","New Jersey Somerset Cavaliers","8","8","0","191","20","13","0","1","108","150.39","23.88"
"22","Faraz Ali","Chicago Kingsmen","7","5","2","190","15","7","2","0","86","141.79","63.33"
"23","Jonathan Foo","The Philadelphians","8","8","3","188","15","11","0","0","41","138.24","37.60"
"24","Prasad Murthy","Atlanta Lightning","8","8","0","187","18","7","1","0","62","130.77","23.38"
"25","Nauman Anwar","St. Louis Americans","7","7","0","186","20","9","0","0","49","145.31","26.57"
"26","Tajinder Singh","Chicago Kingsmen","7","5","1","182","18","6","2","0","80","140.00","45.50"
"27","Christopher Van Tull","The Philadelphians","8","8","1","179","21","7","1","0","74","102.87","25.57"
"28","Tagenarine Chanderpaul","Ft. Lauderdale Lions","6","6","2","178","12","7","2","0","77","117.88","44.50"
"29","Awais Zia","Lone Star Athletics","6","6","1","171","19","4","1","0","69","125.74","34.20"
"30","Abheyender Singh","San Diego Surf Riders","8","8","4","170","12","11","1","0","53","170.00","42.50"
